repository_name,owner_username,stars,repository_url
scikit-learn,scikit-learn,52600,https://github.com/scikit-learn/scikit-learn
superset,apache,50100,https://github.com/apache/superset
pandas,pandas-dev,36500,https://github.com/pandas-dev/pandas
metabase,metabase,31100,https://github.com/metabase/metabase
AI-Expert-Roadmap,AMAI-GmbH,23400,https://github.com/AMAI-GmbH/AI-Expert-Roadmap
streamlit,streamlit,22100,https://github.com/streamlit/streamlit
CyberChef,gchq,19900,https://github.com/gchq/CyberChef
Data-Science-For-Beginners,microsoft,17000,https://github.com/microsoft/Data-Science-For-Beginners
goaccess,allinurl,15600,https://github.com/allinurl/goaccess
best-of-ml-python,ml-tooling,12400,https://github.com/ml-tooling/best-of-ml-python
gradio,gradio-app,11800,https://github.com/gradio-app/gradio
pandas-profiling,ydataai,10000,https://github.com/ydataai/pandas-profiling
OpenRefine,OpenRefine,9200,https://github.com/OpenRefine/OpenRefine
airbyte,airbytehq,9100,https://github.com/airbytehq/airbyte
dataease,dataease,8600,https://github.com/dataease/dataease
pandas_exercises,guipsamora,8600,https://github.com/guipsamora/pandas_exercises
mlcourse.ai,Yorko,8600,https://github.com/Yorko/mlcourse.ai
statsmodels,statsmodels,8100,https://github.com/statsmodels/statsmodels
pyod,yzhao062,6600,https://github.com/yzhao062/pyod
gonum,gonum,6300,https://github.com/gonum/gonum
