repository_name,owner_username,stars,repository_url
tensorflow,tensorflow,170000,https://github.com/tensorflow/tensorflow
transformers,huggingface,77800,https://github.com/huggingface/transformers
opencv,opencv,65900,https://github.com/opencv/opencv
pytorch,pytorch,61500,https://github.com/pytorch/pytorch
keras,keras-team,57100,https://github.com/keras-team/keras
faceswap,deepfakes,43200,https://github.com/deepfakes/faceswap
TensorFlow-Examples,aymericdamien,42500,https://github.com/aymericdamien/TensorFlow-Examples
100-Days-Of-ML-Code,Avik-Jain,39400,https://github.com/Avik-Jain/100-Days-Of-ML-Code
Real-Time-Voice-Cloning,CorentinJ,38700,https://github.com/CorentinJ/Real-Time-Voice-Cloning
d2l-zh,d2l-ai,37200,https://github.com/d2l-ai/d2l-zh
DeepFaceLab,iperov,36500,https://github.com/iperov/DeepFaceLab
Deep-Learning-Papers-Reading-Roadmap,floodsung,34600,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
yolov5,ultralytics,34500,https://github.com/ultralytics/yolov5
caffe,BVLC,33100,https://github.com/BVLC/caffe
Made-With-ML,GokuMohandas,32100,https://github.com/GokuMohandas/Made-With-ML
tesseract.js,naptha,29300,https://github.com/naptha/tesseract.js
machine-learning-for-software-engineers,ZuzooVn,26400,https://github.com/ZuzooVn/machine-learning-for-software-engineers
GFPGAN,TencentARC,25700,https://github.com/TencentARC/GFPGAN
MockingBird,babysor,25700,https://github.com/babysor/MockingBird
openpose,CMU-Perceptual-Computing-Lab,25700,https://github.com/CMU-Perceptual-Computing-Lab/openpose
