repository_name,owner_username,stars,repository_url
go,golang,107000,https://github.com/golang/go
kubernetes,kubernetes,95000,https://github.com/kubernetes/kubernetes
awesome-go,avelino,94400,https://github.com/avelino/awesome-go
gin,gin-gonic,65700,https://github.com/gin-gonic/gin
moby,moby,64900,https://github.com/moby/moby
hugo,gohugoio,64700,https://github.com/gohugoio/hugo
frp,fatedier,63400,https://github.com/fatedier/frp
grafana,grafana,53400,https://github.com/grafana/grafana
fzf,junegunn,49200,https://github.com/junegunn/fzf
syncthing,syncthing,48700,https://github.com/syncthing/syncthing
caddy,caddyserver,45300,https://github.com/caddyserver/caddy
etcd,etcd-io,42300,https://github.com/etcd-io/etcd
gogs,gogs,41500,https://github.com/gogs/gogs
traefik,traefik,41100,https://github.com/traefik/traefik
go-ethereum,ethereum,40800,https://github.com/ethereum/go-ethereum
minio,minio,37000,https://github.com/minio/minio
project-layout,golang-standards,37000,https://github.com/golang-standards/project-layout
rclone,rclone,36500,https://github.com/rclone/rclone
leetcode-master,youngyangyang04,34600,https://github.com/youngyangyang04/leetcode-master
gitea,go-gitea,34100,https://github.com/go-gitea/gitea
