repository_name,owner_username,stars,repository_url
tensorflow,tensorflow,170000,https://github.com/tensorflow/tensorflow
transformers,huggingface,77800,https://github.com/huggingface/transformers
pytorch,pytorch,61500,https://github.com/pytorch/pytorch
keras,keras-team,57100,https://github.com/keras-team/keras
scikit-learn,scikit-learn,52600,https://github.com/scikit-learn/scikit-learn
cs-video-courses,Developer-Y,49700,https://github.com/Developer-Y/cs-video-courses
tesseract,tesseract-ocr,48400,https://github.com/tesseract-ocr/tesseract
face_recognition,ageitgey,47000,https://github.com/ageitgey/face_recognition
ML-For-Beginners,microsoft,43500,https://github.com/microsoft/ML-For-Beginners
faceswap,deepfakes,43200,https://github.com/deepfakes/faceswap
awesome-scalability,binhnguyennus,43000,https://github.com/binhnguyennus/awesome-scalability
TensorFlow-Examples,aymericdamien,42500,https://github.com/aymericdamien/TensorFlow-Examples
julia,JuliaLang,41300,https://github.com/JuliaLang/julia
100-Days-Of-ML-Code,Avik-Jain,39400,https://github.com/Avik-Jain/100-Days-Of-ML-Code
d2l-zh,d2l-ai,37200,https://github.com/d2l-ai/d2l-zh
DeepFaceLab,iperov,36500,https://github.com/iperov/DeepFaceLab
yolov5,ultralytics,34400,https://github.com/ultralytics/yolov5
caffe,BVLC,33100,https://github.com/BVLC/caffe
Made-With-ML,GokuMohandas,32100,https://github.com/GokuMohandas/Made-With-ML
Coursera-ML-AndrewNg-Notes,fengdu78,26800,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes
