repository_name,owner_username,stars,repository_url
system-design-primer,donnemartin,208000,https://github.com/donnemartin/system-design-primer
tensorflow,tensorflow,170000,https://github.com/tensorflow/tensorflow
CS-Notes,CyC2018,161000,https://github.com/CyC2018/CS-Notes
awesome-python,vinta,153000,https://github.com/vinta/awesome-python
Python,TheAlgorithms,151000,https://github.com/TheAlgorithms/Python
free-programming-books-zh_CN,justjavac,98600,https://github.com/justjavac/free-programming-books-zh_CN
project-based-learning,practical-tutorials,86100,https://github.com/practical-tutorials/project-based-learning
transformers,huggingface,77800,https://github.com/huggingface/transformers
thefuck,nvbn,75100,https://github.com/nvbn/thefuck
django,django,68100,https://github.com/django/django
HelloGitHub,521xueweihan,63400,https://github.com/521xueweihan/HelloGitHub
pytorch,pytorch,61500,https://github.com/pytorch/pytorch
flask,pallets,61500,https://github.com/pallets/flask
core,home-assistant,57300,https://github.com/home-assistant/core
keras,keras-team,57100,https://github.com/keras-team/keras
ansible,ansible,56000,https://github.com/ansible/ansible
fastapi,tiangolo,53300,https://github.com/tiangolo/fastapi
scikit-learn,scikit-learn,52600,https://github.com/scikit-learn/scikit-learn
leetcode,azl397985856,50200,https://github.com/azl397985856/leetcode
superset,apache,50100,https://github.com/apache/superset
