repository_name,owner_username,stars,repository_url
postgraphile,graphile,11700,https://github.com/graphile/postgraphile
ioredis,luin,11600,https://github.com/luin/ioredis
oni,onivim,11400,https://github.com/onivim/oni
Vim,VSCodeVim,11400,https://github.com/VSCodeVim/Vim
stencil,ionic-team,11300,https://github.com/ionic-team/stencil
interact.js,taye,11300,https://github.com/taye/interact.js
ts-node,TypeStrong,11300,https://github.com/TypeStrong/ts-node
signoz,SigNoz,11000,https://github.com/SigNoz/signoz
razzle,jaredpalmer,11000,https://github.com/jaredpalmer/razzle
TypeScript-Node-Starter,microsoft,10900,https://github.com/microsoft/TypeScript-Node-Starter
peerjs,peers,10900,https://github.com/peers/peerjs
sst,serverless-stack,10800,https://github.com/serverless-stack/sst
ant-design-mobile,ant-design,10700,https://github.com/ant-design/ant-design-mobile
frontend-bootcamp,microsoft,10700,https://github.com/microsoft/frontend-bootcamp
tsdx,jaredpalmer,10500,https://github.com/jaredpalmer/tsdx
MFE-starter,PatrickJS,10400,https://github.com/PatrickJS/MFE-starter
posthog,PostHog,10400,https://github.com/PostHog/posthog
javascript-obfuscator,javascript-obfuscator,10200,https://github.com/javascript-obfuscator/javascript-obfuscator
vue-storefront,vuestorefront,10200,https://github.com/vuestorefront/vue-storefront
cyclejs,cyclejs,10200,https://github.com/cyclejs/cyclejs
